Element Number	Bending Stress (MPa)
1	-0.54949
2	-0.54969
3	-0.54969
4	-0.5495
5	-0.54969
6	-0.54969
7	-0.5495
8	-0.5495
9	-0.54911
10	-0.54912
11	-0.5493
12	-0.5495
13	-0.5493
14	-0.5495
15	-0.5495
16	-0.5493
17	-0.5495
18	-0.5493
19	-0.54891
20	-0.54892
21	-0.54911
22	-0.54892
23	-0.54912
24	-0.5489
25	-0.54912
26	-0.5489
27	-0.54891
28	-0.54852
29	-0.54892
30	-0.54852
31	-0.54911
32	-0.54892
33	-0.54912
34	-0.54834
35	-0.54854
36	-0.54854
37	-0.54912
38	-0.54834
39	-0.54854
40	-0.54835
41	-0.54852
42	-0.54852
43	-0.54834
44	-0.54794
45	-0.54792
46	-0.54834
47	-0.54794
48	-0.54792
49	-0.54854
50	-0.54795
51	-0.54794
52	-0.54855
53	-0.54835
54	-0.54835
55	-0.54855
56	-0.54758
57	-0.54778
58	-0.54795
59	-0.54795
60	-0.54854
61	-0.54834
62	-0.54854
63	-0.54758
64	-0.54778
65	-0.54735
66	-0.54712
67	-0.54734
68	-0.54712
69	-0.54735
70	-0.54778
71	-0.54758
72	-0.54735
73	-0.54758
74	-0.54778
75	-0.54659
76	-0.54658
77	-0.54718
78	-0.54658
79	-0.54719
80	-0.54659
81	-0.54658
82	-0.54718
83	-0.54778
84	-0.54759
85	-0.54758
86	-0.54778
87	-0.54719
88	-0.54659
89	-0.54659
90	-0.54718
91	-0.54778
92	-0.54758
93	-0.54758
94	-0.54778
95	-0.54658
96	-0.54718
97	-0.54663
98	-0.54682
99	-0.54683
100	-0.54579
101	-0.54578
102	-0.54663
103	-0.54612
104	-0.54683
105	-0.54612
106	-0.54662
107	-0.54578
108	-0.54579
109	-0.54563
110	-0.54484
111	-0.54562
112	-0.54482
113	-0.54484
114	-0.54563
115	-0.54663
116	-0.54683
117	-0.54623
118	-0.54485
119	-0.54564
120	-0.54562
121	-0.54622
122	-0.54482
123	-0.54485
124	-0.54624
125	-0.54564
126	-0.54683
127	-0.54663
128	-0.54663
129	-0.54683
130	-0.54563
131	-0.54623
132	-0.54484
133	-0.54484
134	-0.54623
135	-0.54564
136	-0.54683
137	-0.54663
138	-0.54662
139	-0.54683
140	-0.54622
141	-0.54549
142	-0.54567
143	-0.54568
144	-0.54548
145	-0.54492
146	-0.54568
147	-0.54385
148	-0.54493
149	-0.54547
150	-0.54382
151	-0.54383
152	-0.54385
153	-0.5437
154	-0.54449
155	-0.54548
156	-0.54568
157	-0.54449
158	-0.54508
159	-0.54371
160	-0.54272
161	-0.54271
162	-0.5437
163	-0.54451
164	-0.54446
165	-0.54506
166	-0.54271
167	-0.54372
168	-0.54274
169	-0.54268
170	-0.54367
171	-0.5451
172	-0.54451
173	-0.54568
174	-0.54549
175	-0.54548
176	-0.54568
177	-0.54449
178	-0.54508
179	-0.5437
180	-0.54272
181	-0.54271
182	-0.5437
183	-0.54509
184	-0.54449
185	-0.54568
186	-0.54548
187	-0.54548
188	-0.54568
189	-0.54447
190	-0.54508
191	-0.54267
192	-0.54368
193	-0.54153
194	-0.54151
195	-0.54414
196	-0.54352
197	-0.54434
198	-0.54434
199	-0.54433
200	-0.54149
201	-0.54152
202	-0.54138
203	-0.54019
204	-0.54133
205	-0.54416
206	-0.54377
207	-0.54014
208	-0.54019
209	-0.54237
210	-0.54138
211	-0.54316
212	-0.54414
213	-0.54434
214	-0.54315
215	-0.54374
216	-0.54236
217	-0.54021
218	-0.54239
219	-0.5414
220	-0.54318
221	-0.5431
222	-0.54412
223	-0.5437
224	-0.54133
225	-0.54231
226	-0.54015
227	-0.54025
228	-0.5424
229	-0.54142
230	-0.54376
231	-0.54317
232	-0.54434
233	-0.54415
234	-0.54414
235	-0.54434
236	-0.54315
237	-0.54374
238	-0.54137
239	-0.54236
240	-0.54019
241	-0.5402
242	-0.54237
243	-0.54138
244	-0.54375
245	-0.54316
246	-0.54434
247	-0.54414
248	-0.54413
249	-0.54433
250	-0.54313
251	-0.54373
252	-0.54233
253	-0.53881
254	-0.53876
255	-0.53877
256	-0.54261
257	-0.54193
258	-0.5428
259	-0.53881
260	-0.53869
261	-0.53723
262	-0.53869
263	-0.53718
264	-0.5398
265	-0.54224
266	-0.53738
267	-0.53873
268	-0.54263
269	-0.54281
270	-0.53861
271	-0.54085
272	-0.53986
273	-0.54163
274	-0.5426
275	-0.5428
276	-0.54162
277	-0.54221
278	-0.53985
279	-0.54083
280	-0.5373
281	-0.53867
282	-0.54086
283	-0.53988
284	-0.54165
285	-0.54258
286	-0.54279
287	-0.54156
288	-0.54216
289	-0.53978
290	-0.54077
291	-0.53724
292	-0.53861
293	-0.54087
294	-0.5399
295	-0.54222
296	-0.54164
297	-0.5428
298	-0.54261
299	-0.5426
300	-0.5428
301	-0.54162
302	-0.54221
303	-0.53985
304	-0.54083
305	-0.53868
306	-0.5373
307	-0.53729
308	-0.53867
309	-0.54084
310	-0.53985
311	-0.54221
312	-0.54162
313	-0.5428
314	-0.5426
315	-0.5426
316	-0.5428
317	-0.5416
318	-0.5422
319	-0.5408
320	-0.53574
321	-0.53583
322	-0.53566
323	-0.53723
324	-0.54049
325	-0.54087
326	-0.53572
327	-0.53807
328	-0.53688
329	-0.53558
330	-0.53402
331	-0.53551
332	-0.53395
333	-0.53395
334	-0.53404
335	-0.54051
336	-0.54089
337	-0.5322
338	-0.53697
339	-0.5356
340	-0.53912
341	-0.53814
342	-0.53991
343	-0.54086
344	-0.54107
345	-0.54106
346	-0.53988
347	-0.54047
348	-0.53813
349	-0.5391
350	-0.53695
351	-0.53403
352	-0.53697
353	-0.5356
354	-0.53914
355	-0.53815
356	-0.53992
357	-0.54108
358	-0.54085
359	-0.54106
360	-0.53984
361	-0.54044
362	-0.53806
363	-0.53905
364	-0.53688
365	-0.53412
366	-0.53701
367	-0.53566
368	-0.53914
369	-0.53817
370	-0.54049
371	-0.53991
372	-0.54107
373	-0.54087
374	-0.54087
375	-0.54106
376	-0.53989
377	-0.54047
378	-0.53813
379	-0.5391
380	-0.53558
381	-0.53695
382	-0.53402
383	-0.53226
384	-0.53402
385	-0.53696
386	-0.53559
387	-0.53911
388	-0.53813
389	-0.54048
390	-0.53989
391	-0.54106
392	-0.54087
393	-0.54086
394	-0.54106
395	-0.53987
396	-0.54047
397	-0.53907
398	-0.53551
399	-0.53226
400	-0.5322
401	-0.53616
402	-0.53858
403	-0.53855
404	-0.53498
405	-0.53212
406	-0.5303
407	-0.53205
408	-0.53031
409	-0.53214
410	-0.53025
411	-0.53505
412	-0.53369
413	-0.5372
414	-0.53622
415	-0.53855
416	-0.53797
417	-0.53913
418	-0.53894
419	-0.53893
420	-0.53913
421	-0.53796
422	-0.53854
423	-0.53621
424	-0.53718
425	-0.53367
426	-0.53504
427	-0.53213
428	-0.53037
429	-0.53036
430	-0.53211
431	-0.53505
432	-0.53369
433	-0.53721
434	-0.53623
435	-0.53799
436	-0.53891
437	-0.53914
438	-0.53913
439	-0.53791
440	-0.53851
441	-0.53613
442	-0.53711
443	-0.5336
444	-0.53496
445	-0.5322
446	-0.53047
447	-0.5303
448	-0.53205
449	-0.5351
450	-0.53375
451	-0.53721
452	-0.53625
453	-0.53856
454	-0.53798
455	-0.53913
456	-0.53894
457	-0.53894
458	-0.53913
459	-0.53796
460	-0.53854
461	-0.53621
462	-0.53718
463	-0.53368
464	-0.53504
465	-0.53037
466	-0.53212
467	-0.53504
468	-0.53368
469	-0.53718
470	-0.53621
471	-0.53855
472	-0.53796
473	-0.53913
474	-0.53894
475	-0.53893
476	-0.53913
477	-0.53794
478	-0.53854
479	-0.53715
480	-0.53361
481	-0.52842
482	-0.52838
483	-0.52841
484	-0.52836
485	-0.53406
486	-0.53289
487	-0.52828
488	-0.52634
489	-0.52637
490	-0.53004
491	-0.5283
492	-0.53293
493	-0.53158
494	-0.53506
495	-0.53409
496	-0.53642
497	-0.53584
498	-0.537
499	-0.5368
500	-0.5368
501	-0.537
502	-0.53583
503	-0.53641
504	-0.53409
505	-0.53506
506	-0.53157
507	-0.53292
508	-0.52827
509	-0.53001
510	-0.52633
511	-0.53294
512	-0.52633
513	-0.52827
514	-0.53002
515	-0.53158
516	-0.53508
517	-0.53411
518	-0.53644
519	-0.53586
520	-0.53701
521	-0.53682
522	-0.53678
523	-0.53699
524	-0.53577
525	-0.53637
526	-0.534
527	-0.53498
528	-0.53148
529	-0.53284
530	-0.52821
531	-0.52994
532	-0.5263
533	-0.52648
534	-0.5301
535	-0.52837
536	-0.53298
537	-0.53163
538	-0.53508
539	-0.53412
540	-0.53642
541	-0.53585
542	-0.537
543	-0.53681
544	-0.5368
545	-0.537
546	-0.53583
547	-0.53641
548	-0.53409
549	-0.53506
550	-0.53157
551	-0.53293
552	-0.53002
553	-0.52634
554	-0.53002
555	-0.52828
556	-0.53293
557	-0.53157
558	-0.53506
559	-0.53409
560	-0.53642
561	-0.53583
562	-0.537
563	-0.5368
564	-0.5368
565	-0.537
566	-0.53582
567	-0.53641
568	-0.53504
569	-0.52997
570	-0.53152
571	-0.5263
572	-0.52823
573	-0.52417
574	-0.52421
575	-0.5242
576	-0.52418
577	-0.52406
578	-0.5258
579	-0.53177
580	-0.53061
581	-0.52406
582	-0.52185
583	-0.52194
584	-0.52772
585	-0.52598
586	-0.53061
587	-0.52926
588	-0.53273
589	-0.53177
590	-0.53408
591	-0.5335
592	-0.53466
593	-0.53446
594	-0.53447
595	-0.53466
596	-0.53351
597	-0.53408
598	-0.53177
599	-0.53273
600	-0.52926
601	-0.53061
602	-0.52599
603	-0.52772
604	-0.52406
605	-0.52195
606	-0.52405
607	-0.52193
608	-0.52194
609	-0.52406
610	-0.52772
611	-0.52598
612	-0.53062
613	-0.52926
614	-0.53274
615	-0.53178
616	-0.5341
617	-0.53352
618	-0.53467
619	-0.53449
620	-0.53445
621	-0.53466
622	-0.53344
623	-0.53404
624	-0.53168
625	-0.53265
626	-0.52918
627	-0.53052
628	-0.52593
629	-0.52765
630	-0.52404
631	-0.52191
632	-0.52188
633	-0.524
634	-0.52778
635	-0.52602
636	-0.53066
637	-0.52932
638	-0.53275
639	-0.5318
640	-0.53409
641	-0.53352
642	-0.53466
643	-0.53447
644	-0.53447
645	-0.53466
646	-0.5335
647	-0.53408
648	-0.53177
649	-0.53273
650	-0.52927
651	-0.53061
652	-0.52772
653	-0.52772
654	-0.52599
655	-0.53061
656	-0.52927
657	-0.53273
658	-0.53177
659	-0.53408
660	-0.5335
661	-0.53466
662	-0.53447
663	-0.53447
664	-0.53466
665	-0.5335
666	-0.53408
667	-0.53273
668	-0.52193
669	-0.52924
670	-0.52769
671	-0.52595
672	-0.52403
673	-0.51964
674	-0.52159
675	-0.51948
676	-0.51963
677	-0.51963
678	-0.51959
679	-0.52326
680	-0.52522
681	-0.52349
682	-0.51948
683	-0.51719
684	-0.51719
685	-0.52158
686	-0.51948
687	-0.52522
688	-0.52349
689	-0.52809
690	-0.52675
691	-0.53019
692	-0.52924
693	-0.53153
694	-0.53096
695	-0.53211
696	-0.53192
697	-0.53193
698	-0.53212
699	-0.53097
700	-0.53155
701	-0.52925
702	-0.53021
703	-0.52676
704	-0.5281
705	-0.52351
706	-0.52523
707	-0.51949
708	-0.52159
709	-0.51719
