Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Directional Deformation (mm)
1	-1000.	-1000.	0.	0.
2	-1000.	1000.	0.	0.
3	1000.	-1000.	0.	0.
4	1000.	1000.	0.	0.
5	-1000.	-990.	0.	0.
6	-1000.	-980.	0.	0.
7	-1000.	-970.	0.	0.
8	-1000.	-960.	0.	0.
9	-1000.	-950.	0.	0.
10	-1000.	-940.	0.	0.
11	-1000.	-930.	0.	0.
12	-1000.	-920.	0.	0.
13	-1000.	-910.	0.	0.
14	-1000.	-900.	0.	0.
15	-1000.	-890.	0.	0.
16	-1000.	-880.	0.	0.
17	-1000.	-870.	0.	0.
18	-1000.	-860.	0.	0.
19	-1000.	-850.	0.	0.
20	-1000.	-840.	0.	0.
21	-1000.	-830.	0.	0.
22	-1000.	-820.	0.	0.
23	-1000.	-810.	0.	0.
24	-1000.	-800.	0.	0.
25	-1000.	-790.	0.	0.
26	-1000.	-780.	0.	0.
27	-1000.	-770.	0.	0.
28	-1000.	-760.	0.	0.
29	-1000.	-750.	0.	0.
30	-1000.	-740.	0.	0.
31	-1000.	-730.	0.	0.
32	-1000.	-720.	0.	0.
33	-1000.	-710.	0.	0.
34	-1000.	-700.	0.	0.
35	-1000.	-690.	0.	0.
36	-1000.	-680.	0.	0.
37	-1000.	-670.	0.	0.
38	-1000.	-660.	0.	0.
39	-1000.	-650.	0.	0.
40	-1000.	-640.	0.	0.
41	-1000.	-630.	0.	0.
42	-1000.	-620.	0.	0.
43	-1000.	-610.	0.	0.
44	-1000.	-600.	0.	0.
45	-1000.	-590.	0.	0.
46	-1000.	-580.	0.	0.
47	-1000.	-570.	0.	0.
48	-1000.	-560.	0.	0.
49	-1000.	-550.	0.	0.
50	-1000.	-540.	0.	0.
51	-1000.	-530.	0.	0.
52	-1000.	-520.	0.	0.
53	-1000.	-510.	0.	0.
54	-1000.	-500.	0.	0.
55	-1000.	-490.	0.	0.
56	-1000.	-480.	0.	0.
57	-1000.	-470.	0.	0.
58	-1000.	-460.	0.	0.
59	-1000.	-450.	0.	0.
60	-1000.	-440.	0.	0.
61	-1000.	-430.	0.	0.
62	-1000.	-420.	0.	0.
63	-1000.	-410.	0.	0.
64	-1000.	-400.	0.	0.
65	-1000.	-390.	0.	0.
66	-1000.	-380.	0.	0.
67	-1000.	-370.	0.	0.
68	-1000.	-360.	0.	0.
69	-1000.	-350.	0.	0.
70	-1000.	-340.	0.	0.
71	-1000.	-330.	0.	0.
72	-1000.	-320.	0.	0.
73	-1000.	-310.	0.	0.
74	-1000.	-300.	0.	0.
75	-1000.	-290.	0.	0.
76	-1000.	-280.	0.	0.
77	-1000.	-270.	0.	0.
78	-1000.	-260.	0.	0.
79	-1000.	-250.	0.	0.
80	-1000.	-240.	0.	0.
81	-1000.	-230.	0.	0.
82	-1000.	-220.	0.	0.
83	-1000.	-210.	0.	0.
84	-1000.	-200.	0.	0.
85	-1000.	-190.	0.	0.
86	-1000.	-180.	0.	0.
87	-1000.	-170.	0.	0.
88	-1000.	-160.	0.	0.
89	-1000.	-150.	0.	0.
90	-1000.	-140.	0.	0.
91	-1000.	-130.	0.	0.
92	-1000.	-120.	0.	0.
93	-1000.	-110.	0.	0.
94	-1000.	-100.	0.	0.
95	-1000.	-90.	0.	0.
96	-1000.	-80.	0.	0.
97	-1000.	-70.	0.	0.
98	-1000.	-60.	0.	0.
99	-1000.	-50.	0.	0.
100	-1000.	-40.	0.	0.
101	-1000.	-30.	0.	0.
102	-1000.	-20.	0.	0.
103	-1000.	-10.	0.	0.
104	-1000.	6.6613e-013	0.	0.
105	-1000.	10.	0.	0.
106	-1000.	20.	0.	0.
107	-1000.	30.	0.	0.
108	-1000.	40.	0.	0.
109	-1000.	50.	0.	0.
110	-1000.	60.	0.	0.
111	-1000.	70.	0.	0.
112	-1000.	80.	0.	0.
113	-1000.	90.	0.	0.
114	-1000.	100.	0.	0.
115	-1000.	110.	0.	0.
116	-1000.	120.	0.	0.
117	-1000.	130.	0.	0.
118	-1000.	140.	0.	0.
119	-1000.	150.	0.	0.
120	-1000.	160.	0.	0.
121	-1000.	170.	0.	0.
122	-1000.	180.	0.	0.
123	-1000.	190.	0.	0.
124	-1000.	200.	0.	0.
125	-1000.	210.	0.	0.
126	-1000.	220.	0.	0.
127	-1000.	230.	0.	0.
128	-1000.	240.	0.	0.
129	-1000.	250.	0.	0.
130	-1000.	260.	0.	0.
131	-1000.	270.	0.	0.
132	-1000.	280.	0.	0.
133	-1000.	290.	0.	0.
134	-1000.	300.	0.	0.
135	-1000.	310.	0.	0.
136	-1000.	320.	0.	0.
137	-1000.	330.	0.	0.
138	-1000.	340.	0.	0.
139	-1000.	350.	0.	0.
140	-1000.	360.	0.	0.
141	-1000.	370.	0.	0.
142	-1000.	380.	0.	0.
143	-1000.	390.	0.	0.
144	-1000.	400.	0.	0.
145	-1000.	410.	0.	0.
146	-1000.	420.	0.	0.
147	-1000.	430.	0.	0.
148	-1000.	440.	0.	0.
149	-1000.	450.	0.	0.
150	-1000.	460.	0.	0.
151	-1000.	470.	0.	0.
152	-1000.	480.	0.	0.
153	-1000.	490.	0.	0.
154	-1000.	500.	0.	0.
155	-1000.	510.	0.	0.
156	-1000.	520.	0.	0.
157	-1000.	530.	0.	0.
158	-1000.	540.	0.	0.
159	-1000.	550.	0.	0.
160	-1000.	560.	0.	0.
161	-1000.	570.	0.	0.
162	-1000.	580.	0.	0.
163	-1000.	590.	0.	0.
164	-1000.	600.	0.	0.
165	-1000.	610.	0.	0.
166	-1000.	620.	0.	0.
167	-1000.	630.	0.	0.
168	-1000.	640.	0.	0.
169	-1000.	650.	0.	0.
170	-1000.	660.	0.	0.
171	-1000.	670.	0.	0.
172	-1000.	680.	0.	0.
173	-1000.	690.	0.	0.
174	-1000.	700.	0.	0.
175	-1000.	710.	0.	0.
176	-1000.	720.	0.	0.
177	-1000.	730.	0.	0.
178	-1000.	740.	0.	0.
179	-1000.	750.	0.	0.
180	-1000.	760.	0.	0.
181	-1000.	770.	0.	0.
182	-1000.	780.	0.	0.
183	-1000.	790.	0.	0.
184	-1000.	800.	0.	0.
185	-1000.	810.	0.	0.
186	-1000.	820.	0.	0.
187	-1000.	830.	0.	0.
188	-1000.	840.	0.	0.
189	-1000.	850.	0.	0.
190	-1000.	860.	0.	0.
191	-1000.	870.	0.	0.
192	-1000.	880.	0.	0.
193	-1000.	890.	0.	0.
194	-1000.	900.	0.	0.
195	-1000.	910.	0.	0.
196	-1000.	920.	0.	0.
197	-1000.	930.	0.	0.
198	-1000.	940.	0.	0.
199	-1000.	950.	0.	0.
200	-1000.	960.	0.	0.
201	-1000.	970.	0.	0.
202	-1000.	980.	0.	0.
203	-1000.	990.	0.	0.
204	-990.	-1000.	0.	0.
205	-980.	-1000.	0.	0.
206	-970.	-1000.	0.	0.
