Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Normal Elastic Strain (mm/mm)
1	-1000.	-1000.	0.	-2.2437e-023
1	-1000.	-1000.	0.	2.2437e-023
2	-1000.	1000.	0.	-2.0369e-023
2	-1000.	1000.	0.	2.0369e-023
3	1000.	-1000.	0.	-2.0369e-023
3	1000.	-1000.	0.	2.0369e-023
4	1000.	1000.	0.	-2.2541e-023
4	1000.	1000.	0.	2.2541e-023
5	-1000.	-990.	0.	-9.841e-010
5	-1000.	-990.	0.	9.841e-010
6	-1000.	-980.	0.	-1.8535e-009
6	-1000.	-980.	0.	1.8535e-009
7	-1000.	-970.	0.	8.0381e-010
7	-1000.	-970.	0.	-8.0381e-010
8	-1000.	-960.	0.	8.9058e-009
8	-1000.	-960.	0.	-8.9058e-009
9	-1000.	-950.	0.	2.3159e-008
9	-1000.	-950.	0.	-2.3159e-008
10	-1000.	-940.	0.	4.374e-008
10	-1000.	-940.	0.	-4.374e-008
11	-1000.	-930.	0.	7.0535e-008
11	-1000.	-930.	0.	-7.0535e-008
12	-1000.	-920.	0.	1.0329e-007
12	-1000.	-920.	0.	-1.0329e-007
13	-1000.	-910.	0.	1.4166e-007
13	-1000.	-910.	0.	-1.4166e-007
14	-1000.	-900.	0.	1.8529e-007
14	-1000.	-900.	0.	-1.8529e-007
15	-1000.	-890.	0.	2.3381e-007
15	-1000.	-890.	0.	-2.3381e-007
16	-1000.	-880.	0.	2.8683e-007
16	-1000.	-880.	0.	-2.8683e-007
17	-1000.	-870.	0.	3.4399e-007
17	-1000.	-870.	0.	-3.4399e-007
18	-1000.	-860.	0.	4.0496e-007
18	-1000.	-860.	0.	-4.0496e-007
19	-1000.	-850.	0.	4.6938e-007
19	-1000.	-850.	0.	-4.6938e-007
20	-1000.	-840.	0.	5.3696e-007
20	-1000.	-840.	0.	-5.3696e-007
21	-1000.	-830.	0.	6.0739e-007
21	-1000.	-830.	0.	-6.0739e-007
22	-1000.	-820.	0.	6.8041e-007
22	-1000.	-820.	0.	-6.8041e-007
23	-1000.	-810.	0.	7.5577e-007
23	-1000.	-810.	0.	-7.5577e-007
24	-1000.	-800.	0.	8.3321e-007
24	-1000.	-800.	0.	-8.3321e-007
25	-1000.	-790.	0.	9.125e-007
25	-1000.	-790.	0.	-9.125e-007
26	-1000.	-780.	0.	9.934e-007
26	-1000.	-780.	0.	-9.934e-007
27	-1000.	-770.	0.	1.0757e-006
27	-1000.	-770.	0.	-1.0757e-006
28	-1000.	-760.	0.	1.1593e-006
28	-1000.	-760.	0.	-1.1593e-006
29	-1000.	-750.	0.	1.2439e-006
29	-1000.	-750.	0.	-1.2439e-006
30	-1000.	-740.	0.	1.3293e-006
30	-1000.	-740.	0.	-1.3293e-006
31	-1000.	-730.	0.	1.4156e-006
31	-1000.	-730.	0.	-1.4156e-006
32	-1000.	-720.	0.	1.5024e-006
32	-1000.	-720.	0.	-1.5024e-006
33	-1000.	-710.	0.	1.5896e-006
33	-1000.	-710.	0.	-1.5896e-006
34	-1000.	-700.	0.	1.6772e-006
34	-1000.	-700.	0.	-1.6772e-006
35	-1000.	-690.	0.	1.765e-006
35	-1000.	-690.	0.	-1.765e-006
36	-1000.	-680.	0.	1.8529e-006
36	-1000.	-680.	0.	-1.8529e-006
37	-1000.	-670.	0.	1.9408e-006
37	-1000.	-670.	0.	-1.9408e-006
38	-1000.	-660.	0.	2.0285e-006
38	-1000.	-660.	0.	-2.0285e-006
39	-1000.	-650.	0.	2.116e-006
39	-1000.	-650.	0.	-2.116e-006
40	-1000.	-640.	0.	2.2033e-006
40	-1000.	-640.	0.	-2.2033e-006
41	-1000.	-630.	0.	2.2901e-006
41	-1000.	-630.	0.	-2.2901e-006
42	-1000.	-620.	0.	2.3765e-006
42	-1000.	-620.	0.	-2.3765e-006
43	-1000.	-610.	0.	2.4623e-006
43	-1000.	-610.	0.	-2.4623e-006
44	-1000.	-600.	0.	2.5475e-006
44	-1000.	-600.	0.	-2.5475e-006
45	-1000.	-590.	0.	2.632e-006
45	-1000.	-590.	0.	-2.632e-006
46	-1000.	-580.	0.	2.7158e-006
46	-1000.	-580.	0.	-2.7158e-006
47	-1000.	-570.	0.	2.7989e-006
47	-1000.	-570.	0.	-2.7989e-006
48	-1000.	-560.	0.	2.881e-006
48	-1000.	-560.	0.	-2.881e-006
49	-1000.	-550.	0.	2.9623e-006
49	-1000.	-550.	0.	-2.9623e-006
50	-1000.	-540.	0.	3.0426e-006
50	-1000.	-540.	0.	-3.0426e-006
51	-1000.	-530.	0.	3.1219e-006
51	-1000.	-530.	0.	-3.1219e-006
52	-1000.	-520.	0.	3.2002e-006
52	-1000.	-520.	0.	-3.2002e-006
53	-1000.	-510.	0.	3.2774e-006
53	-1000.	-510.	0.	-3.2774e-006
54	-1000.	-500.	0.	3.3535e-006
54	-1000.	-500.	0.	-3.3535e-006
55	-1000.	-490.	0.	3.4285e-006
55	-1000.	-490.	0.	-3.4285e-006
56	-1000.	-480.	0.	3.5023e-006
56	-1000.	-480.	0.	-3.5023e-006
57	-1000.	-470.	0.	3.5748e-006
57	-1000.	-470.	0.	-3.5748e-006
58	-1000.	-460.	0.	3.6462e-006
58	-1000.	-460.	0.	-3.6462e-006
59	-1000.	-450.	0.	3.7162e-006
59	-1000.	-450.	0.	-3.7162e-006
60	-1000.	-440.	0.	3.785e-006
60	-1000.	-440.	0.	-3.785e-006
61	-1000.	-430.	0.	3.8524e-006
61	-1000.	-430.	0.	-3.8524e-006
62	-1000.	-420.	0.	3.9186e-006
62	-1000.	-420.	0.	-3.9186e-006
63	-1000.	-410.	0.	3.9833e-006
63	-1000.	-410.	0.	-3.9833e-006
64	-1000.	-400.	0.	4.0467e-006
64	-1000.	-400.	0.	-4.0467e-006
65	-1000.	-390.	0.	4.1086e-006
65	-1000.	-390.	0.	-4.1086e-006
66	-1000.	-380.	0.	4.1692e-006
66	-1000.	-380.	0.	-4.1692e-006
67	-1000.	-370.	0.	4.2283e-006
67	-1000.	-370.	0.	-4.2283e-006
68	-1000.	-360.	0.	4.286e-006
68	-1000.	-360.	0.	-4.286e-006
69	-1000.	-350.	0.	4.3422e-006
69	-1000.	-350.	0.	-4.3422e-006
70	-1000.	-340.	0.	4.3969e-006
70	-1000.	-340.	0.	-4.3969e-006
71	-1000.	-330.	0.	4.4502e-006
71	-1000.	-330.	0.	-4.4502e-006
72	-1000.	-320.	0.	4.5019e-006
72	-1000.	-320.	0.	-4.5019e-006
73	-1000.	-310.	0.	4.5522e-006
73	-1000.	-310.	0.	-4.5522e-006
74	-1000.	-300.	0.	4.6009e-006
74	-1000.	-300.	0.	-4.6009e-006
75	-1000.	-290.	0.	4.6481e-006
75	-1000.	-290.	0.	-4.6481e-006
76	-1000.	-280.	0.	4.6937e-006
76	-1000.	-280.	0.	-4.6937e-006
77	-1000.	-270.	0.	4.7378e-006
77	-1000.	-270.	0.	-4.7378e-006
78	-1000.	-260.	0.	4.7804e-006
78	-1000.	-260.	0.	-4.7804e-006
79	-1000.	-250.	0.	4.8214e-006
79	-1000.	-250.	0.	-4.8214e-006
80	-1000.	-240.	0.	4.8608e-006
80	-1000.	-240.	0.	-4.8608e-006
81	-1000.	-230.	0.	4.8987e-006
81	-1000.	-230.	0.	-4.8987e-006
82	-1000.	-220.	0.	4.9349e-006
82	-1000.	-220.	0.	-4.9349e-006
83	-1000.	-210.	0.	4.9696e-006
83	-1000.	-210.	0.	-4.9696e-006
84	-1000.	-200.	0.	5.0027e-006
84	-1000.	-200.	0.	-5.0027e-006
85	-1000.	-190.	0.	5.0343e-006
85	-1000.	-190.	0.	-5.0343e-006
86	-1000.	-180.	0.	5.0642e-006
86	-1000.	-180.	0.	-5.0642e-006
87	-1000.	-170.	0.	5.0925e-006
87	-1000.	-170.	0.	-5.0925e-006
88	-1000.	-160.	0.	5.1192e-006
88	-1000.	-160.	0.	-5.1192e-006
89	-1000.	-150.	0.	5.1443e-006
89	-1000.	-150.	0.	-5.1443e-006
90	-1000.	-140.	0.	5.1678e-006
90	-1000.	-140.	0.	-5.1678e-006
91	-1000.	-130.	0.	5.1897e-006
91	-1000.	-130.	0.	-5.1897e-006
92	-1000.	-120.	0.	5.21e-006
92	-1000.	-120.	0.	-5.21e-006
93	-1000.	-110.	0.	5.2287e-006
93	-1000.	-110.	0.	-5.2287e-006
94	-1000.	-100.	0.	5.2457e-006
94	-1000.	-100.	0.	-5.2457e-006
95	-1000.	-90.	0.	5.2611e-006
95	-1000.	-90.	0.	-5.2611e-006
96	-1000.	-80.	0.	5.275e-006
96	-1000.	-80.	0.	-5.275e-006
97	-1000.	-70.	0.	5.2871e-006
97	-1000.	-70.	0.	-5.2871e-006
98	-1000.	-60.	0.	5.2977e-006
98	-1000.	-60.	0.	-5.2977e-006
99	-1000.	-50.	0.	5.3066e-006
99	-1000.	-50.	0.	-5.3066e-006
100	-1000.	-40.	0.	5.314e-006
100	-1000.	-40.	0.	-5.314e-006
101	-1000.	-30.	0.	5.3197e-006
101	-1000.	-30.	0.	-5.3197e-006
102	-1000.	-20.	0.	5.3237e-006
102	-1000.	-20.	0.	-5.3237e-006
103	-1000.	-10.	0.	5.3262e-006
103	-1000.	-10.	0.	-5.3262e-006
104	-1000.	6.6613e-013	0.	5.327e-006
104	-1000.	6.6613e-013	0.	-5.327e-006
105	-1000.	10.	0.	5.3262e-006
105	-1000.	10.	0.	-5.3262e-006
106	-1000.	20.	0.	5.3237e-006
106	-1000.	20.	0.	-5.3237e-006
107	-1000.	30.	0.	5.3197e-006
107	-1000.	30.	0.	-5.3197e-006
108	-1000.	40.	0.	5.314e-006
108	-1000.	40.	0.	-5.314e-006
109	-1000.	50.	0.	5.3066e-006
109	-1000.	50.	0.	-5.3066e-006
110	-1000.	60.	0.	5.2977e-006
110	-1000.	60.	0.	-5.2977e-006
111	-1000.	70.	0.	5.2871e-006
111	-1000.	70.	0.	-5.2871e-006
112	-1000.	80.	0.	5.275e-006
112	-1000.	80.	0.	-5.275e-006
113	-1000.	90.	0.	5.2611e-006
113	-1000.	90.	0.	-5.2611e-006
114	-1000.	100.	0.	5.2457e-006
114	-1000.	100.	0.	-5.2457e-006
115	-1000.	110.	0.	5.2287e-006
115	-1000.	110.	0.	-5.2287e-006
116	-1000.	120.	0.	5.21e-006
116	-1000.	120.	0.	-5.21e-006
117	-1000.	130.	0.	5.1897e-006
117	-1000.	130.	0.	-5.1897e-006
118	-1000.	140.	0.	5.1678e-006
118	-1000.	140.	0.	-5.1678e-006
119	-1000.	150.	0.	5.1443e-006
119	-1000.	150.	0.	-5.1443e-006
120	-1000.	160.	0.	5.1192e-006
120	-1000.	160.	0.	-5.1192e-006
121	-1000.	170.	0.	5.0925e-006
121	-1000.	170.	0.	-5.0925e-006
122	-1000.	180.	0.	5.0642e-006
122	-1000.	180.	0.	-5.0642e-006
123	-1000.	190.	0.	5.0343e-006
123	-1000.	190.	0.	-5.0343e-006
124	-1000.	200.	0.	5.0027e-006
124	-1000.	200.	0.	-5.0027e-006
125	-1000.	210.	0.	4.9696e-006
125	-1000.	210.	0.	-4.9696e-006
126	-1000.	220.	0.	4.9349e-006
126	-1000.	220.	0.	-4.9349e-006
127	-1000.	230.	0.	4.8987e-006
127	-1000.	230.	0.	-4.8987e-006
128	-1000.	240.	0.	4.8608e-006
128	-1000.	240.	0.	-4.8608e-006
129	-1000.	250.	0.	4.8214e-006
129	-1000.	250.	0.	-4.8214e-006
130	-1000.	260.	0.	4.7804e-006
130	-1000.	260.	0.	-4.7804e-006
131	-1000.	270.	0.	4.7378e-006
131	-1000.	270.	0.	-4.7378e-006
132	-1000.	280.	0.	4.6937e-006
132	-1000.	280.	0.	-4.6937e-006
133	-1000.	290.	0.	4.6481e-006
133	-1000.	290.	0.	-4.6481e-006
134	-1000.	300.	0.	4.6009e-006
134	-1000.	300.	0.	-4.6009e-006
135	-1000.	310.	0.	4.5522e-006
135	-1000.	310.	0.	-4.5522e-006
136	-1000.	320.	0.	4.5019e-006
136	-1000.	320.	0.	-4.5019e-006
137	-1000.	330.	0.	4.4502e-006
137	-1000.	330.	0.	-4.4502e-006
138	-1000.	340.	0.	4.3969e-006
138	-1000.	340.	0.	-4.3969e-006
139	-1000.	350.	0.	4.3422e-006
139	-1000.	350.	0.	-4.3422e-006
140	-1000.	360.	0.	4.286e-006
140	-1000.	360.	0.	-4.286e-006
141	-1000.	370.	0.	4.2283e-006
141	-1000.	370.	0.	-4.2283e-006
142	-1000.	380.	0.	4.1692e-006
142	-1000.	380.	0.	-4.1692e-006
143	-1000.	390.	0.	4.1086e-006
143	-1000.	390.	0.	-4.1086e-006
144	-1000.	400.	0.	4.0467e-006
144	-1000.	400.	0.	-4.0467e-006
145	-1000.	410.	0.	3.9833e-006
145	-1000.	410.	0.	-3.9833e-006
146	-1000.	420.	0.	3.9186e-006
146	-1000.	420.	0.	-3.9186e-006
147	-1000.	430.	0.	3.8524e-006
147	-1000.	430.	0.	-3.8524e-006
148	-1000.	440.	0.	3.785e-006
148	-1000.	440.	0.	-3.785e-006
149	-1000.	450.	0.	3.7162e-006
149	-1000.	450.	0.	-3.7162e-006
150	-1000.	460.	0.	3.6462e-006
150	-1000.	460.	0.	-3.6462e-006
151	-1000.	470.	0.	3.5748e-006
151	-1000.	470.	0.	-3.5748e-006
152	-1000.	480.	0.	3.5023e-006
152	-1000.	480.	0.	-3.5023e-006
153	-1000.	490.	0.	3.4285e-006
153	-1000.	490.	0.	-3.4285e-006
154	-1000.	500.	0.	3.3535e-006
154	-1000.	500.	0.	-3.3535e-006
155	-1000.	510.	0.	3.2774e-006
155	-1000.	510.	0.	-3.2774e-006
156	-1000.	520.	0.	3.2002e-006
156	-1000.	520.	0.	-3.2002e-006
157	-1000.	530.	0.	3.1219e-006
157	-1000.	530.	0.	-3.1219e-006
158	-1000.	540.	0.	3.0426e-006
158	-1000.	540.	0.	-3.0426e-006
159	-1000.	550.	0.	2.9623e-006
159	-1000.	550.	0.	-2.9623e-006
160	-1000.	560.	0.	2.881e-006
160	-1000.	560.	0.	-2.881e-006
161	-1000.	570.	0.	2.7989e-006
161	-1000.	570.	0.	-2.7989e-006
162	-1000.	580.	0.	2.7158e-006
162	-1000.	580.	0.	-2.7158e-006
163	-1000.	590.	0.	2.632e-006
163	-1000.	590.	0.	-2.632e-006
164	-1000.	600.	0.	2.5475e-006
164	-1000.	600.	0.	-2.5475e-006
165	-1000.	610.	0.	2.4623e-006
165	-1000.	610.	0.	-2.4623e-006
166	-1000.	620.	0.	2.3765e-006
166	-1000.	620.	0.	-2.3765e-006
167	-1000.	630.	0.	2.2901e-006
167	-1000.	630.	0.	-2.2901e-006
168	-1000.	640.	0.	2.2033e-006
168	-1000.	640.	0.	-2.2033e-006
169	-1000.	650.	0.	2.116e-006
169	-1000.	650.	0.	-2.116e-006
170	-1000.	660.	0.	2.0285e-006
170	-1000.	660.	0.	-2.0285e-006
171	-1000.	670.	0.	1.9408e-006
171	-1000.	670.	0.	-1.9408e-006
172	-1000.	680.	0.	1.8529e-006
172	-1000.	680.	0.	-1.8529e-006
173	-1000.	690.	0.	1.765e-006
173	-1000.	690.	0.	-1.765e-006
174	-1000.	700.	0.	1.6772e-006
174	-1000.	700.	0.	-1.6772e-006
175	-1000.	710.	0.	1.5896e-006
175	-1000.	710.	0.	-1.5896e-006
176	-1000.	720.	0.	1.5024e-006
176	-1000.	720.	0.	-1.5024e-006
177	-1000.	730.	0.	1.4155e-006
177	-1000.	730.	0.	-1.4155e-006
178	-1000.	740.	0.	1.3293e-006
178	-1000.	740.	0.	-1.3293e-006
179	-1000.	750.	0.	1.2438e-006
179	-1000.	750.	0.	-1.2438e-006
180	-1000.	760.	0.	1.1592e-006
180	-1000.	760.	0.	-1.1592e-006
181	-1000.	770.	0.	1.0757e-006
181	-1000.	770.	0.	-1.0757e-006
182	-1000.	780.	0.	9.9335e-007
182	-1000.	780.	0.	-9.9335e-007
183	-1000.	790.	0.	9.1246e-007
183	-1000.	790.	0.	-9.1246e-007
184	-1000.	800.	0.	8.332e-007
184	-1000.	800.	0.	-8.332e-007
185	-1000.	810.	0.	7.5579e-007
185	-1000.	810.	0.	-7.5579e-007
186	-1000.	820.	0.	6.8045e-007
186	-1000.	820.	0.	-6.8045e-007
187	-1000.	830.	0.	6.0742e-007
187	-1000.	830.	0.	-6.0742e-007
188	-1000.	840.	0.	5.3698e-007
188	-1000.	840.	0.	-5.3698e-007
189	-1000.	850.	0.	4.6939e-007
189	-1000.	850.	0.	-4.6939e-007
190	-1000.	860.	0.	4.0496e-007
190	-1000.	860.	0.	-4.0496e-007
191	-1000.	870.	0.	3.44e-007
191	-1000.	870.	0.	-3.44e-007
192	-1000.	880.	0.	2.8683e-007
192	-1000.	880.	0.	-2.8683e-007
193	-1000.	890.	0.	2.3381e-007
193	-1000.	890.	0.	-2.3381e-007
194	-1000.	900.	0.	1.8529e-007
194	-1000.	900.	0.	-1.8529e-007
195	-1000.	910.	0.	1.4166e-007
195	-1000.	910.	0.	-1.4166e-007
196	-1000.	920.	0.	1.0329e-007
196	-1000.	920.	0.	-1.0329e-007
197	-1000.	930.	0.	7.0534e-008
197	-1000.	930.	0.	-7.0534e-008
198	-1000.	940.	0.	4.374e-008
198	-1000.	940.	0.	-4.374e-008
199	-1000.	950.	0.	2.3159e-008
199	-1000.	950.	0.	-2.3159e-008
200	-1000.	960.	0.	8.9057e-009
200	-1000.	960.	0.	-8.9057e-009
201	-1000.	970.	0.	8.0382e-010
201	-1000.	970.	0.	-8.0382e-010
202	-1000.	980.	0.	-1.8535e-009
202	-1000.	980.	0.	1.8535e-009
203	-1000.	990.	0.	-9.841e-010
203	-1000.	990.	0.	9.841e-010
204	-990.	-1000.	0.	-7.3844e-024
204	-990.	-1000.	0.	7.3844e-024
205	-980.	-1000.	0.	3.8718e-023
205	-980.	-1000.	0.	-3.8718e-023
206	-970.	-1000.	0.	7.7804e-023
206	-970.	-1000.	0.	-7.7804e-023
207	-960.	-1000.	0.	1.135e-022
207	-960.	-1000.	0.	-1.135e-022
208	-950.	-1000.	0.	1.4453e-022
208	-950.	-1000.	0.	-1.4453e-022
209	-940.	-1000.	0.	1.6594e-022
209	-940.	-1000.	0.	-1.6594e-022
210	-930.	-1000.	0.	-3.515e-017
210	-930.	-1000.	0.	3.515e-017
211	-920.	-1000.	0.	-1.3225e-016
211	-920.	-1000.	0.	1.3225e-016
212	-910.	-1000.	0.	-3.0627e-016
212	-910.	-1000.	0.	3.0627e-016
213	-900.	-1000.	0.	-7.4566e-016
213	-900.	-1000.	0.	7.4566e-016
214	-890.	-1000.	0.	5.5444e-017
214	-890.	-1000.	0.	-5.5444e-017
215	-880.	-1000.	0.	9.325e-016
215	-880.	-1000.	0.	-9.325e-016
216	-870.	-1000.	0.	8.331e-016
216	-870.	-1000.	0.	-8.331e-016
217	-860.	-1000.	0.	-2.0041e-016
217	-860.	-1000.	0.	2.0041e-016
218	-850.	-1000.	0.	-7.634e-016
218	-850.	-1000.	0.	7.634e-016
219	-840.	-1000.	0.	8.6009e-016
219	-840.	-1000.	0.	-8.6009e-016
220	-830.	-1000.	0.	1.8063e-015
220	-830.	-1000.	0.	-1.8063e-015
221	-820.	-1000.	0.	2.0569e-015
221	-820.	-1000.	0.	-2.0569e-015
222	-810.	-1000.	0.	1.6407e-015
222	-810.	-1000.	0.	-1.6407e-015
