Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Shear Elastic Strain (mm/mm)
1	-1000.	-1000.	0.	4.3634e-023
1	-1000.	-1000.	0.	-4.3634e-023
2	-1000.	1000.	0.	-4.2807e-023
2	-1000.	1000.	0.	4.2807e-023
3	1000.	-1000.	0.	-4.2807e-023
3	1000.	-1000.	0.	4.2807e-023
4	1000.	1000.	0.	4.2807e-023
4	1000.	1000.	0.	-4.2807e-023
5	-1000.	-990.	0.	9.8411e-010
5	-1000.	-990.	0.	-9.8411e-010
6	-1000.	-980.	0.	-7.8011e-011
6	-1000.	-980.	0.	7.8011e-011
7	-1000.	-970.	0.	-2.5694e-009
7	-1000.	-970.	0.	2.5694e-009
8	-1000.	-960.	0.	-5.5743e-009
8	-1000.	-960.	0.	5.5743e-009
9	-1000.	-950.	0.	-8.7709e-009
9	-1000.	-950.	0.	8.7709e-009
10	-1000.	-940.	0.	-1.1954e-008
10	-1000.	-940.	0.	1.1954e-008
11	-1000.	-930.	0.	-1.5035e-008
11	-1000.	-930.	0.	1.5035e-008
12	-1000.	-920.	0.	-1.7958e-008
12	-1000.	-920.	0.	1.7958e-008
13	-1000.	-910.	0.	-2.0702e-008
13	-1000.	-910.	0.	2.0702e-008
14	-1000.	-900.	0.	-2.3256e-008
14	-1000.	-900.	0.	2.3256e-008
15	-1000.	-890.	0.	-2.5621e-008
15	-1000.	-890.	0.	2.5621e-008
16	-1000.	-880.	0.	-2.7798e-008
16	-1000.	-880.	0.	2.7798e-008
17	-1000.	-870.	0.	-2.9796e-008
17	-1000.	-870.	0.	2.9796e-008
18	-1000.	-860.	0.	-3.1621e-008
18	-1000.	-860.	0.	3.1621e-008
19	-1000.	-850.	0.	-3.3281e-008
19	-1000.	-850.	0.	3.3281e-008
20	-1000.	-840.	0.	-3.4783e-008
20	-1000.	-840.	0.	3.4783e-008
21	-1000.	-830.	0.	-3.6133e-008
21	-1000.	-830.	0.	3.6133e-008
22	-1000.	-820.	0.	-3.7336e-008
22	-1000.	-820.	0.	3.7336e-008
23	-1000.	-810.	0.	-3.8407e-008
23	-1000.	-810.	0.	3.8407e-008
24	-1000.	-800.	0.	-3.9362e-008
24	-1000.	-800.	0.	3.9362e-008
